huntCode,species,sex,huntType,huntClass,area,unitCode,unitNames,weapon,conditions,permitCount,organizations,averageValue,sourceSpecies,sourceRowStart,sourceRowNumbers,matchedPermitRegister,matchedRegisterLabel,matchedCanonicalHunts,boundaryIds,sourceHuntCodes
CP-DEER-SAN-JUAN-ELK-RIDGE-BUCK-ANY-LEGAL-WEAPON,Deer,Buck,Conservation,SFW,"San Juan, Elk Ridge",san-juan-elk-ridge,"San Juan, Elk Ridge",Any Legal Weapon,Hunter's Choice,1,SFW,60666.67,Deer,106,106,true,"San Juan, Elk Ridge Conservation Permit",false,185,
CP-DEER-SAN-JUAN-ELK-RIDGE-BUCK-ARCHERY,Deer,Buck,Conservation,UAA,"San Juan, Elk Ridge",san-juan-elk-ridge,"San Juan, Elk Ridge",Archery,Archery,1,UAA,42000,Deer,105,105,true,"San Juan, Elk Ridge Conservation Permit",false,185,
CP-DEER-SAN-JUAN-ELK-RIDGE-BUCK-MULTISEASON,Deer,Buck,Conservation,SFW,"San Juan, Elk Ridge",san-juan-elk-ridge,"San Juan, Elk Ridge",Multiseason,Multiseason,1,SFW,67000,Deer,107,107,true,"San Juan, Elk Ridge Conservation Permit",false,185,
CP-DEER-SAN-JUAN-ELK-RIDGE-BUCK-MUZZLELOADER,Deer,Buck,Conservation,MDF,"San Juan, Elk Ridge",san-juan-elk-ridge,"San Juan, Elk Ridge",Muzzleloader,Muzzleloader,1,MDF,42000,Deer,108,108,true,"San Juan, Elk Ridge Conservation Permit",false,185,
CP-DEER-STATEWIDE-BUCK-ANY-LEGAL-WEAPON,Deer,Buck,Conservation,MDF,Statewide,statewide,Buck Deer - Statewide Permit | Statewide,Any Legal Weapon,,1,MDF,288333.33,Deer,117,117,true,Statewide Deer Conservation Permit,false,454,DB0007
CP-DEER-WEST-DESERT-VERNON-BUCK-ANY-LEGAL-WEAPON,Deer,Buck,Conservation,SFW,"West Desert, Vernon",west-desert-vernon,"West Desert, Vernon",Any Legal Weapon,Hunter's Choice,2,SFW,15416.67,Deer,111,111 | 112,true,"West Desert, Vernon Conservation Permit",false,248,
CP-DEER-WEST-DESERT-VERNON-BUCK-ARCHERY,Deer,Buck,Conservation,MDF,"West Desert, Vernon",west-desert-vernon,"West Desert, Vernon",Archery,Archery,1,MDF,14350,Deer,109,109,true,"West Desert, Vernon Conservation Permit",false,248,
CP-DEER-WEST-DESERT-VERNON-BUCK-ARCHERY,Deer,Buck,Conservation,SFW,"West Desert, Vernon",west-desert-vernon,"West Desert, Vernon",Archery,Archery,1,SFW,14350,Deer,110,110,true,"West Desert, Vernon Conservation Permit",false,248,
CP-DEER-WEST-DESERT-VERNON-BUCK-MULTISEASON,Deer,Buck,Conservation,SFW,"West Desert, Vernon",west-desert-vernon,"West Desert, Vernon",Multiseason,Multiseason,1,SFW,17000,Deer,113,113,true,"West Desert, Vernon Conservation Permit",false,248,
CP-DEER-WEST-DESERT-VERNON-BUCK-MULTISEASON,Deer,Buck,Conservation,MDF,"West Desert, Vernon",west-desert-vernon,"West Desert, Vernon",Multiseason,Multiseason,1,MDF,17000,Deer,114,114,true,"West Desert, Vernon Conservation Permit",false,248,
CP-DEER-WEST-DESERT-VERNON-BUCK-MUZZLELOADER,Deer,Buck,Conservation,MDF,"West Desert, Vernon",west-desert-vernon,"West Desert, Vernon",Muzzleloader,Muzzleloader,1,MDF,14083.33,Deer,115,115,true,"West Desert, Vernon Conservation Permit",false,248,
CP-DEER-WEST-DESERT-VERNON-BUCK-MUZZLELOADER,Deer,Buck,Conservation,DSC,"West Desert, Vernon",west-desert-vernon,"West Desert, Vernon",Muzzleloader,Muzzleloader,1,DSC,14083.33,Deer,116,116,true,"West Desert, Vernon Conservation Permit",false,248,
CP-DESERT-BIGHORN-SHEEP-KAIPAROWITS-EAST-RAM-ANY-LEGAL-WEAPON,Desert Bighorn Sheep,Ram,Conservation,UWSF,"Kaiparowits, East",kaiparowits-east,"Kaiparowits, East",Any Legal Weapon,Any Legal Weapon,1,UWSF,88333.33,Desert Bighorn Sheep,71,71,true,Kaiparowits East Conservation,false,98,DS1002
CP-DESERT-BIGHORN-SHEEP-KAIPAROWITS-ESCALANTE-RAM-ANY-LEGAL-WEAPON,Desert Bighorn Sheep,Ram,Conservation,UWSF,"Kaiparowits, Escalante",kaiparowits-escalante,"Kaiparowits, Escalante East/West",Any Legal Weapon,Any Legal Weapon,1,UWSF,71666.67,Desert Bighorn Sheep,72,72,true,Kaiparowits Escalante East/West Conservation,false,933 | 99,DS1003
CP-DESERT-BIGHORN-SHEEP-KAIPAROWITS-WEST-RAM-ANY-LEGAL-WEAPON,Desert Bighorn Sheep,Ram,Conservation,UWSF,"Kaiparowits, West",kaiparowits-west,"Kaiparowits, West",Any Legal Weapon,Any Legal Weapon,1,UWSF,77500,Desert Bighorn Sheep,73,73,true,Kaiparowits West Conservation,false,100,DS1006
