recommendation_year,hunt_code,species,permit_category,section_title,hunt_name,weapon,sex_type,access_class,permit_split_type,resident_permits_prior_raw,nonresident_permits_prior_raw,total_permits_prior_raw,resident_permits_raw,nonresident_permits_raw,total_permits_raw,resident_permits_prior,nonresident_permits_prior,total_permits_prior,resident_permits,nonresident_permits,total_permits,source_type,source_authority_level,source_file,source_page_number
2026,DB1026,Deer,2026 RAC Workbook Permit Recommendations,Table 1,"Cache, Crawford Mtn",Muzzleloader,,Public,resident_nonresident,7,1,8,8,1,9,7,1,8,8,1,9,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1028,Deer,2026 RAC Workbook Permit Recommendations,Table 1,Fillmore,Muzzleloader,,Public,resident_nonresident,10,1,11,11,1,12,10,1,11,11,1,12,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1029,Deer,2026 RAC Workbook Permit Recommendations,Table 1,"Fillmore, Oak Creek LE",Muzzleloader,,Public,resident_nonresident,11,1,12,12,1,13,11,1,12,12,1,13,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1030,Deer,2026 RAC Workbook Permit Recommendations,Table 1,Kamas,Muzzleloader,,Public,resident_nonresident,5,1,6,4,1,5,5,1,6,4,1,5,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1031,Deer,2026 RAC Workbook Permit Recommendations,Table 1,Dolores Triangle,Muzzleloader,,Public,resident_nonresident,4,0,4,5,0,5,4,0,4,5,0,5,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1032,Deer,2026 RAC Workbook Permit Recommendations,Table 1,Monroe,Muzzleloader,,Public,resident_nonresident,5,1,6,5,1,6,5,1,6,5,1,6,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1033,Deer,2026 RAC Workbook Permit Recommendations,Table 1,Nine Mile,Muzzleloader,,Public,resident_nonresident,6,1,7,6,1,7,6,1,7,6,1,7,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1034,Deer,2026 RAC Workbook Permit Recommendations,Table 1,Pine Valley,Muzzleloader,,Public,resident_nonresident,13,2,15,13,2,15,13,2,15,13,2,15,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1037,Deer,2026 RAC Workbook Permit Recommendations,Table 1,"San Juan, Elk Ridge",Muzzleloader,,Public,resident_nonresident,14,2,16,15,2,17,14,2,16,15,2,17,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1038,Deer,2026 RAC Workbook Permit Recommendations,Table 1,Diamond Mtn,Muzzleloader,,Public,resident_nonresident,20,2,22,22,2,24,20,2,22,22,2,24,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
