hunt_code,residency,point_level,applicants,bonus_permits,random_permits,total_permits,success_ratio_text
DB1004,Nonresident,15,173,0,0,0,N/A
DB1004,Nonresident,14,140,0,0,0,N/A
DB1004,Nonresident,13,138,0,0,0,N/A
DB1004,Nonresident,12,108,0,0,0,N/A
DB1004,Nonresident,11,120,0,0,0,N/A
DB1004,Nonresident,10,163,0,0,0,N/A
DB1004,Nonresident,9,150,0,0,0,N/A
DB1004,Nonresident,8,196,0,0,0,N/A
DB1004,Nonresident,7,156,0,0,0,N/A
DB1004,Nonresident,6,190,0,0,0,N/A
DB1004,Nonresident,5,189,0,0,0,N/A
DB1004,Nonresident,4,179,0,0,0,N/A
DB1004,Nonresident,3,182,0,0,0,N/A
DB1004,Nonresident,2,216,0,0,0,N/A
DB1004,Nonresident,1,195,0,0,0,N/A
DB1004,Nonresident,0,217,0,0,0,N/A
DB1004,Resident,32,0,0,0,0,N/A
DB1004,Resident,31,0,0,0,0,N/A
DB1004,Resident,30,0,0,0,0,N/A
DB1004,Resident,29,0,0,0,0,N/A
DB1004,Resident,28,0,0,0,0,N/A
DB1004,Resident,27,0,0,0,0,N/A
DB1004,Resident,26,2,2,0,2,1 in 1.0
DB1004,Resident,25,2,2,0,2,1 in 1.0
DB1004,Resident,24,12,12,0,12,1 in 1.0
DB1004,Resident,23,20,20,0,20,1 in 1.0
DB1004,Resident,22,75,1,1,2,1 in 37.5
DB1004,Resident,21,59,0,0,0,N/A
DB1004,Resident,20,86,0,1,1,1 in 86.0
DB1004,Resident,19,99,0,3,3,1 in 33.0
DB1004,Resident,18,117,0,2,2,1 in 58.5
DB1004,Resident,17,86,0,5,5,1 in 17.2
DB1004,Resident,16,117,0,1,1,1 in 117.0
DB1004,Resident,15,142,0,3,3,1 in 47.3
DB1004,Resident,14,145,0,1,1,1 in 145.0
DB1004,Resident,13,164,0,0,0,N/A
DB1004,Resident,12,177,0,2,2,1 in 88.5
DB1004,Resident,11,171,0,2,2,1 in 85.5
DB1004,Resident,10,161,0,2,2,1 in 80.5
DB1004,Resident,9,187,0,0,0,N/A
DB1004,Resident,8,230,0,10,10,1 in 23.0
DB1004,Resident,7,177,0,0,0,N/A
DB1004,Resident,6,174,0,1,1,1 in 174.0
DB1004,Resident,5,232,0,0,0,N/A
DB1004,Resident,4,209,0,0,0,N/A
DB1004,Resident,3,225,0,2,2,1 in 112.5
DB1004,Resident,2,244,0,0,0,N/A
DB1004,Resident,1,267,0,0,0,N/A
DB1004,Resident,0,291,0,0,0,N/A
DB1005,Nonresident,32,0,0,0,0,N/A
